DATE,EXERCISE,SET,NB_REPS,WEIGHT,PERF
2023-09-13,Dumbbell lateral raise,2.0,8.0,12.0,96.0
2023-09-13,Seated dumbbell shoulder press,2.0,8.333333333333334,18.0,150.0
2023-09-15,Bent Over Barbell Row,2.0,8.333333333333334,60.0,500.0
2023-09-15,Hammer Curls,2.0,8.0,12.0,96.0
2023-09-15,Incline dumbbell biceps curl,2.0,7.0,8.0,56.0
2023-09-15,Pull-up,2.0,8.0,5.0,40.0
2023-09-16,Behind-the-head skullcrusher,2.0,7.666666666666667,24.0,184.0
2023-09-16,Bench press,2.0,9.0,60.0,540.0
2023-09-16,Close-grip bench press,2.0,11.333333333333334,46.666666666666664,525.3333333333334
2023-09-16,Dumbbell lateral raise,2.0,8.0,12.0,96.0
2023-09-16,Seated dumbbell shoulder press,2.0,7.666666666666667,18.0,138.0
2023-09-17,Barbell Squat,2.0,7.333333333333333,83.33333333333333,593.3333333333334
2023-09-17,Leg Extensions,2.0,8.0,59.0,472.0
2023-09-17,Leg Press,2.0,11.333333333333334,96.66666666666667,1083.3333333333333
2023-09-17,Lying Leg Curls,2.0,10.333333333333334,45.0,465.0
2023-09-17,Smith machine standing calf raise,2.0,11.666666666666666,78.33333333333333,896.6666666666666
2023-09-20,Behind-the-head skullcrusher,2.0,9.666666666666666,24.0,232.0
2023-09-20,Close-grip bench press,2.0,10.666666666666666,50.0,533.3333333333334
2023-09-20,Hammer Curls,2.0,11.0,12.0,132.0
2023-09-20,Incline dumbbell biceps curl,2.0,10.0,10.0,100.0
2023-09-22,Bent Over Barbell Row,2.0,8.666666666666666,60.0,520.0
2023-09-22,Bent-over dumbbell rear delt fly,2.0,10.0,7.333333333333333,72.0
2023-09-22,Dumbbell Bicep Curl,2.0,8.333333333333334,12.0,100.0
2023-09-22,Pull-up,2.0,8.0,5.0,40.0
2023-09-23,Bench press,2.0,8.666666666666666,60.0,520.0
2023-09-23,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-09-23,Incline bench press,2.0,7.666666666666667,50.0,383.3333333333333
2023-09-23,Seated dumbbell shoulder press,2.0,9.333333333333334,18.0,168.0
2023-09-30,Behind-the-head skullcrusher,2.0,9.0,25.0,225.0
2023-09-30,Dumbbell Bench Press,2.0,9.0,28.0,246.66666666666666
2023-09-30,Dumbbell lateral raise,2.0,9.333333333333334,12.0,112.0
2023-09-30,Incline dumbbell bench press,2.0,6.666666666666667,26.0,173.33333333333334
2023-09-30,Triceps Pushdown,2.0,9.0,27.0,243.0
2023-10-01,Cable rope hammer curl,2.0,8.333333333333334,39.0,323.6666666666667
2023-10-01,Incline dumbbell biceps curl,2.0,7.333333333333333,10.0,73.33333333333333
2023-10-01,Lat pull-down,2.0,11.0,63.666666666666664,695.6666666666666
2023-10-01,Seated Cable Rows,2.0,8.333333333333334,61.0,508.3333333333333
2023-10-01,Standing crossed-cable rear delt fly,2.0,8.666666666666666,14.0,121.33333333333333
2023-10-01,Straight-arm cable pull-over,2.0,8.0,41.0,328.0
2023-10-15,Behind-the-head skullcrusher,2.0,10.666666666666666,24.0,256.0
2023-10-15,Close-grip bench press,2.0,12.666666666666666,50.0,633.3333333333334
2023-10-15,Hammer Curls,2.0,11.666666666666666,12.0,140.0
2023-10-15,Incline dumbbell biceps curl,2.0,9.0,10.0,90.0
2023-10-18,Bench press,2.0,7.666666666666667,60.0,460.0
2023-10-18,Close-grip bench press,2.0,7.666666666666667,50.0,383.3333333333333
2023-10-18,Dumbbell lateral raise,2.0,8.333333333333334,12.0,100.0
2023-10-18,Seated dumbbell shoulder press,2.0,6.666666666666667,20.0,133.33333333333334
2023-10-29,Bent Over Barbell Row,2.0,9.666666666666666,60.0,580.0
2023-10-29,Hammer Curls,2.0,9.333333333333334,12.0,112.0
2023-10-29,Incline dumbbell biceps curl,2.0,7.333333333333333,9.333333333333334,68.0
2023-10-29,Pull-up,2.0,8.333333333333334,5.0,41.666666666666664
2023-11-04,Behind-the-head skullcrusher,2.0,8.333333333333334,25.0,208.33333333333334
2023-11-04,Dumbbell Bench Press,2.0,7.333333333333333,29.333333333333332,212.66666666666666
2023-11-04,Dumbbell lateral raise,2.0,10.0,12.0,120.0
2023-11-04,Incline dumbbell bench press,2.0,6.0,26.0,156.0
2023-11-04,Triceps Pushdown,2.0,9.0,27.0,243.0
2023-11-05,Barbell Squat,2.0,8.333333333333334,85.0,708.3333333333334
2023-11-05,Leg Extensions,2.0,8.666666666666666,63.666666666666664,546.3333333333334
2023-11-05,Leg Press,2.0,8.0,106.66666666666667,836.6666666666666
2023-11-05,Seated Leg Curl,2.0,10.666666666666666,56.666666666666664,601.3333333333334
2023-11-05,Smith machine standing calf raise,2.0,11.0,90.0,990.0
